Time,X,T
0.100000,0.020000,0.030348
0.100000,0.040000,0.060554
0.100000,0.060000,0.090582
0.100000,0.080000,0.120188
0.100000,0.100000,0.149438
0.100000,0.120000,0.177994
0.100000,0.140000,0.206019
0.100000,0.160000,0.233096
0.100000,0.180000,0.259465
0.100000,0.200000,0.284656
0.100000,0.220000,0.308968
0.100000,0.240000,0.331895
0.100000,0.260000,0.353775
0.100000,0.280000,0.374097
0.100000,0.300000,0.393211
0.100000,0.320000,0.410626
0.100000,0.340000,0.426681
0.100000,0.360000,0.440931
0.100000,0.380000,0.453680
0.100000,0.400000,0.464555
0.100000,0.420000,0.473804
0.100000,0.440000,0.481144
0.100000,0.460000,0.486750
0.100000,0.480000,0.490447
0.100000,0.500000,0.492325
0.100000,0.520000,0.492325
0.100000,0.540000,0.490447
0.100000,0.560000,0.486750
0.100000,0.580000,0.481144
0.100000,0.600000,0.473804
0.100000,0.620000,0.464555
0.100000,0.640000,0.453680
0.100000,0.660000,0.440931
0.100000,0.680000,0.426681
0.100000,0.700000,0.410626
0.100000,0.720000,0.393211
0.100000,0.740000,0.374097
0.100000,0.760000,0.353775
0.100000,0.780000,0.331895
0.100000,0.800000,0.308968
0.100000,0.820000,0.284656
0.100000,0.840000,0.259465
0.100000,0.860000,0.233096
0.100000,0.880000,0.206019
0.100000,0.900000,0.177994
0.100000,0.920000,0.149438
0.100000,0.940000,0.120188
0.100000,0.960000,0.090582
0.100000,0.980000,0.060554
0.100000,1.000000,0.030348
