N,p,threads,time
128,2,1,0.547325
128,3,1,0.381829
128,4,1,0.290185
128,5,1,0.248574
128,6,1,0.221699
128,7,1,0.194851
128,8,1,0.165814
128,9,1,0.148052
128,10,1,0.137883
128,11,1,0.132425
128,12,1,0.126297
128,1,1,1.0684
128,1,2,0.540134
128,1,3,0.369197
128,1,4,0.282381
128,1,5,0.22768
128,1,6,0.192882
128,1,7,0.16679
128,1,8,0.153943
128,1,9,0.137805
128,1,10,0.127336
128,1,11,0.119845
128,1,12,0.108446
128,2,6,0.115242
128,3,4,0.118531
128,4,3,0.114439
128,6,2,0.121508
512,2,1,8.44808
512,3,1,5.67796
512,4,1,4.24335
512,5,1,3.42215
512,6,1,2.85591
512,7,1,2.47607
512,8,1,2.14179
512,9,1,1.91702
512,10,1,1.75143
512,11,1,1.60029
512,12,1,1.46613
512,1,1,16.849
512,1,2,8.43978
512,1,3,5.64382
512,1,4,4.24109
512,1,5,3.40193
512,1,6,2.84674
512,1,7,2.43732
512,1,8,2.14083
512,1,9,1.90804
512,1,10,1.72015
512,1,11,1.56743
512,1,12,1.43946
512,2,6,1.44568
512,3,4,1.45054
512,4,3,1.44398
512,6,2,1.46295
1024,1,1,67.4962
1024,2,1,33.7709
1024,3,1,22.5205
1024,4,1,16.8848
1024,5,1,13.5283
1024,6,1,11.2912
1024,7,1,9.74616
1024,8,1,8.49619
1024,9,1,7.56294
1024,10,1,6.81527
1024,11,1,6.24713
1024,12,1,5.69475
1024,1,2,33.7307
1024,1,3,22.5502
1024,1,4,16.9164
1024,1,5,13.5473
1024,1,6,11.2814
1024,1,7,9.69608
1024,1,8,8.48077
1024,1,9,7.55776
1024,1,10,6.80451
1024,1,11,6.18555
1024,1,12,5.67226
1024,2,6,5.69314
1024,3,4,5.68769
1024,4,3,5.66403
1024,6,2,5.72355
